Test,Model,Mean
1,glm,0.886
1,knn,0.894
1,nnet,0.893
1,glmnet,0.891
1,ran,0.905
1,svm,0.892
1,bglm,0.886
1,BlogReg,0.891
1,rf,0.907
1,rpart,0.843
1,gbm,0.88
2,glm,0.893
2,knn,0.915
2,nnet,0.908
2,glmnet,0.898
2,ran,0.916
2,svm,0.899
2,bglm,0.897
2,BlogReg,0.883
2,rf,0.904
2,rpart,0.843
2,gbm,0.889
3,glm,0.89
3,knn,0.904
3,nnet,0.899
3,glmnet,0.884
3,ran,0.916
3,svm,0.898
3,bglm,0.89
3,BlogReg,0.883
3,rf,0.899
3,rpart,0.843
3,gbm,0.884
4,glm,0.893
4,knn,0.887
4,nnet,0.903
4,glmnet,0.893
4,ran,0.911
4,svm,0.889
4,bglm,0.893
4,BlogReg,0.874
4,rf,0.899
4,rpart,0.841
4,gbm,0.889
5,glm,0.886
5,knn,0.898
5,nnet,0.904
5,glmnet,0.891
5,ran,0.911
5,svm,0.895
5,bglm,0.89
5,BlogReg,0.887
5,rf,0.899
5,rpart,0.843
5,gbm,0.893
6,glm,0.899
6,knn,0.904
6,nnet,0.905
6,glmnet,0.9
6,ran,0.924
6,svm,0.887
6,bglm,0.9
6,BlogReg,0.869
6,rf,0.899
6,rpart,0.841
6,gbm,0.883
7,glm,0.892
7,knn,0.882
7,nnet,0.899
7,glmnet,0.893
7,ran,0.912
7,svm,0.889
7,bglm,0.893
7,BlogReg,0.872
7,rf,0.892
7,rpart,0.841
7,gbm,0.889
8,glm,0.909
8,knn,0.918
8,nnet,0.915
8,glmnet,0.91
8,ran,0.918
8,svm,0.886
8,bglm,0.909
8,BlogReg,0.899
8,rf,0.883
8,rpart,0.863
8,gbm,0.9
9,glm,0.909
9,knn,0.923
9,nnet,0.915
9,glmnet,0.91
9,ran,0.919
9,svm,0.894
9,bglm,0.909
9,BlogReg,0.903
9,rf,0.886
9,rpart,0.863
9,gbm,0.909
10,glm,0.91
10,knn,0.918
10,nnet,0.918
10,glmnet,0.911
10,ran,0.915
10,svm,0.907
10,bglm,0.903
10,BlogReg,0.905
10,rf,0.883
10,rpart,0.859
10,gbm,0.905
11,glm,0.909
11,knn,0.923
11,nnet,0.915
11,glmnet,0.91
11,ran,0.923
11,svm,0.894
11,bglm,0.909
11,BlogReg,0.903
11,rf,0.886
11,rpart,0.863
11,gbm,0.905
