Classification,Type,Test,Outcome,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
Lethality,Standard,leth_test1,lethal,HPAI_MBAA,RBS,PBS,Origin_orig,wt_loss,temp_5,AUC_6,slope13,peak_inoc,,,
Lethality,Standard,leth_test2,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp_5,AUC_6,slope13,peak_inoc,,,
Lethality,Standard,leth_test3,lethal,HPAI_MBAA,RBS,PBS,Origin_orig,wt_loss,temp,AUC_6,slope13,peak_inoc,,,
Lethality,Standard,leth_test4,lethal,HPAI_MBAA,RBS,PBS,Origin_orig,wt_loss,temp_5,AUC_6,slope13,,HA,,
Lethality,Standard,leth_test5,lethal,HPAI_MBAA,RBS,PBS,Origin_orig,wt_loss,temp_5,AUC_6,slope13,,,,
Lethality,Standard,leth_test6,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp,AUC_6,slope13,peak_inoc,HA,,
Lethality,Standard,leth_test7,lethal,HPAI_MBAA,RBS,PBS,Origin_orig,wt_loss,temp,AUC_6,slope13,peak_inoc,HA,,
Lethality,Standard,leth_test8,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp,AUC_6,,peak_inoc,HA,,
Lethality,Standard,leth_test9,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp,AUC_6,,,HA,,
Lethality,Standard,leth_test10,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp,AUC_6,,,Subtype,,
Lethality,Standard,leth_test11,lethal,HPAI_MBAA,RBS,PBS,,wt_loss,temp,AUC_6,,,HA,,
Lethality,Molecular,leth_mol_test1,lethal,,RBS,PBS,,,,,,,,All Positions,
Lethality,Combined,leth_mol_test2,lethal,HPAI_MBAA,RBS,PBS,,,,,,,HA,,
Lethality,Combined,leth_mol_test3,lethal,HPAI_MBAA,RBS,PBS,Origin,wt_loss,temp_5,AUC_6,,,HA,All Positions,
Lethality,Molecular,leth_mol_test4,lethal,,RBS,PBS,,,,,,,,,
Lethality,Combined,leth_mol_test5,lethal,HPAI_MBAA,RBS,PBS,Origin,,,,,,,All Positions,
Severity,Standard,wt_test1,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,lethal,temp_5,AUC_6,,,HA,,
Severity,Standard,wt_test2,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,,temp_5,AUC_6,,,HA,,
Severity,Standard,wt_test3,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,,temp_5,,,peak_inoc,HA,,
Severity,Standard,wt_test4,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,,temp_5,AUC_6,,d3_inoc,HA,,
Severity,Standard,wt_test5,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,,temp_5,AUC_9,,,HA,,
Severity,Standard,wt_test6,wt_loss_high,HPAI_MBAA,,,,,temp_5,AUC_6,,,,,
Severity,Standard,wt_test7,wt_loss_high,HPAI_MBAA,RBS,PBS,,,temp_5,AUC_6,,,HA,,
Severity,Standard,wt_test8,wt_loss_high,HPAI_MBAA,,PBS,,,temp_5,AUC_6,,,HA,,
Severity,Standard,wt_test9,wt_loss_high,HPAI_MBAA,RBS,,,,temp_5,AUC_6,,,HA,,
Severity,Standard,wt_test10,wt_loss_high,HPAI_MBAA,,,,,temp_5,AUC_6,,,HA,,
Severity,Molecular,wt_mol_test1,wt_loss_high,,,,,,,,,,,All Positions,
Severity,Combined,wt_mol_test2,wt_loss_high,HPAI_MBAA,RBS,PBS,,,,,,,HA,,
Severity,Combined,wt_mol_test3,wt_loss_high,HPAI_MBAA,RBS,PBS,Origin,,temp_5,AUC_6,,,HA,All Positions,
Severity,Molecular,wt_mol_test4,wt_loss_high,,RBS,PBS,,,,,,,,,
Transmission,Standard,RD_test1,RD_trans_ext,HPAI_MBAA,RBS,PBS,,,,,,,HA,,
Transmission,Standard,RD_test2,RD_trans_ext,,RBS,PBS,Origin,,,,,,HA,,
Transmission,Standard,RD_test3,RD_trans_ext,,RBS,PBS,Origin,,,AUC_RD,,,HA,,
Transmission,Standard,RD_test4,RD_trans_ext,,RBS,PBS,Origin,,,,,,Subtype,,
Transmission,Standard,RD_test5,RD_trans_ext,,RBS,PBS,Origin,,,,slope13,peak_inoc,Subtype,,
Transmission,Standard,RD_test6,RD_trans_ext,,RBS,PBS,Origin,,,AUC_6,slope13,,Subtype,,
Transmission,Standard,RD_test7,RD_trans_ext,,RBS,PBS,Origin,,,AUC_4,slope13,,Subtype,,
Transmission,Standard,RD_test8,RD_trans_ext,,RBS,PBS,Origin,,,AUC_6,slope13,,Subtype,pH.for.fusion,
Transmission,Standard,RD_test9,RD_trans_ext,,RBS,PBS,Origin,,,AUC_6,slope13,,Subtype,pH.for.fusion,"PB2_627, 155"
Transmission,Standard,RD_test10,RD_trans_ext,,,,,,,AUC_6,slope13,,,pH.for.fusion,
Transmission,Standard,RD_test11,RD_trans_ext,,,,,,,AUC_6,,,,pH.for.fusion,
Transmission,Standard,RD_test12,RD_trans_ext,,,,,,,AUC_6,,,,,
Transmission,Standard,RD_test13,RD_trans_ext,,,,,,,AUC_4,,,,,
Transmission,Standard,RD_test14,RD_trans_ext,,RBS,PBS,Origin,,,AUC_6,slope13,,HA,,
Transmission,Standard,RD_test15,RD_trans_ext,,RBS,PBS,Origin,,,AUC_RD,slope13,,HA,,
Transmission,Molecular,RD_mol_test1,RD_trans_ext,,RBS,PBS,,,,,,,,All Positions,
Transmission,Molecular,RD_mol_test2,RD_trans_ext,,RBS,PBS,,,,,,,,,
Transmission,Combined,RD_mol_test3,RD_trans_ext,,RBS,PBS,Origin,,,,,,Subtype,All Positions,
Transmission,Combined,RD_mol_test4,RD_trans_ext,,RBS,PBS,Origin,,,,,,Subtype,,"21,83,138,155,186,214,225,226,PB2_627"
Transmission,Combined,RD_mol_test5,RD_trans_ext,,RBS,,,,,,,,Subtype,,PB2_627
Transmission,Combined,RD_mol_test6,RD_trans_ext,,RBS,,,,,,,,HA,,PB2_627
Transmission,Combined,RD_mol_test7,RD_trans_ext,,RBS,PBS,Origin,,,,,,HA,All Positions,
Transmission,Combined,RD_mol_test8,RD_trans_ext,,RBS,PBS,Origin,,,AUC_6,slope13,,HA,All Positions,
